can_id,can_data,interval_ms
0x18C4D2D0,84 BB 20 00 00 00 40 5F,10
0x18C4D2D0,84 BB 20 00 00 00 50 4F,10
0x18C4D2D0,84 BB 20 00 00 00 60 7F,10
0x18C4D2D0,84 BB 20 00 00 00 70 6F,10
0x18C4D2D0,84 BB 20 00 00 00 80 9F,10
0x18C4D2D0,84 BB 20 00 00 00 90 8F,10
0x18C4D2D0,84 BB 20 00 00 00 A0 BF,10
0x18C4D2D0,84 BB 20 00 00 00 B0 AF,10
0x18C4D2D0,84 BB 20 00 00 00 C0 DF,10
0x18C4D2D0,84 BB 20 00 00 00 D0 CF,10
0x18C4D2D0,84 BB 20 00 00 00 E0 FF,10
0x18C4D2D0,84 BB 20 00 00 00 F0 EF,10
0x18C4D2D0,84 BB 20 00 00 00 00 1F,10
0x18C4D2D0,84 BB 20 00 00 00 10 0F,10
0x18C4D2D0,84 BB 20 00 00 00 20 3F,10
0x18C4D2D0,84 BB 20 00 00 00 30 2F,10
0x18C4D2D0,84 BB 20 00 00 00 40 5F,10
0x18C4D2D0,84 BB 20 00 00 00 50 4F,10
0x18C4D2D0,84 BB 20 00 00 00 60 7F,10
0x18C4D2D0,84 BB 20 00 00 00 70 6F,10
0x18C4D2D0,84 BB 20 00 00 00 80 9F,10
0x18C4D2D0,84 BB 20 00 00 00 90 8F,10
0x18C4D2D0,84 BB 30 00 00 00 A0 AF,10
0x18C4D2D0,84 BB 30 00 00 00 B0 BF,10
0x18C4D2D0,84 BB 30 00 00 00 C0 CF,10
0x18C4D2D0,84 BB 30 00 00 00 D0 DF,10
0x18C4D2D0,84 BB 30 00 00 00 E0 EF,10
0x18C4D2D0,84 BB 30 00 00 00 F0 FF,10
0x18C4D2D0,84 BB 30 00 00 00 00 0F,10
0x18C4D2D0,84 BB 30 04 00 00 10 1B,10
0x18C4D2D0,84 BB 30 04 00 00 20 2B,10
0x18C4D2D0,84 BB 30 7C 00 00 30 43,10
0x18C4D2D0,84 BB 30 7C 00 00 40 33,10
0x18C4D2D0,84 BB 30 7C 00 00 50 23,10
0x18C4D2D0,84 BB 30 7C 00 00 60 13,10
0x18C4D2D0,84 BB 40 3D 01 00 70 33,10
0x18C4D2D0,84 BB 40 3D 01 00 80 C3,10
0x18C4D2D0,84 BB 40 3D 01 00 90 D3,10
0x18C4D2D0,84 BB 40 3D 01 00 A0 E3,10
0x18C4D2D0,84 BB 40 3D 01 00 B0 F3,10
0x18C4D2D0,84 BB 40 3D 01 00 C0 83,10
0x18C4D2D0,84 BB 40 3D 01 00 D0 93,10
0x18C4D2D0,84 BB 40 3D 01 00 E0 A3,10
0x18C4D2D0,84 BB 40 3D 01 00 F0 B3,10
